동,X좌표,Y좌표
광장동,209255.0673,449598.8388
광장동,209255.8637,449596.7149
광장동,209256.9257,449595.0335
광장동,209257.9876,449593.0866
광장동,209259.0496,449591.3167
광장동,209259.7575,449589.5468
광장동,209260.731,449587.8654
광장동,208964.8095,449462.6075
광장동,208962.4202,449457.6518
광장동,208930.2927,449489.0958
광장동,208924.1408,449488.2603
광장동,208918.4446,449487.4629
광장동,208913.1281,449486.8553
광장동,208906.4025,449485.7048
광장동,208896.0485,449483.8464
광장동,208891.0927,449482.873
광장동,208880.2963,449475.5279
광장동,208881.3582,449469.9526
광장동,208975.257,449547.1298
광장동,208957.8234,449551.8201
광장동,208952.8676,449555.3599
광장동,208947.9119,449558.6343
광장동,208979.8588,449550.3157
광장동,208984.1951,449553.413
광장동,208988.7083,449556.7759
광장동,208993.1331,449560.2272
광장동,208997.6464,449563.1475
광장동,209002.0712,449566.6874
광장동,209014.2835,449574.9175
광장동,209018.5313,449577.9263
광장동,209022.9561,449593.6785
광장동,209021.8057,449598.8113
광장동,209020.5667,449604.7405
광장동,209019.3278,449609.7847
광장동,209018.2658,449615.0059
광장동,209028.1773,449596.5989
광장동,209026.9384,449602.4396
광장동,209025.611,449607.4838
광장동,209013.6641,449630.6697
광장동,208997.4694,449692.0856
광장동,208993.1331,449706.9528
광장동,208988.5313,449722.7935
광장동,208987.0269,449727.7493
광장동,208985.08,449732.7935
광장동,208983.3101,449738.1918
광장동,208981.6287,449743.3245
광장동,208979.2393,449748.1918
광장동,208976.4959,449752.882
광장동,208973.8411,449757.7493
광장동,208971.3632,449762.351
광장동,208968.7968,449767.3953
광장동,208966.4074,449772.351
광장동,208941.9827,449807.8378
광장동,208938.7083,449812.0855
광장동,208935.1685,449816.3333
광장동,208931.6287,449820.4926
광장동,208914.6375,449823.236
광장동,208909.4163,449825.3599
광장동,208904.3721,449827.1298
광장동,208899.0623,449828.9882
광장동,208894.1951,449830.8466
광장동,209007.5579,449518.7228
광장동,209013.0396,449493.9349
광장동,209011.4517,449520.7582
광장동,209015.3455,449522.7051
광장동,209019.1508,449524.829
광장동,209023.1331,449527.0414
광장동,209026.9384,449528.8998
광장동,209030.9207,449531.0237
광장동,209035.5225,449533.3245
광장동,209040.5667,449535.9794
광장동,209045.611,449538.4573
광장동,209050.4782,449541.1121
광장동,209029.0573,449473.1385
광장동,209017.4644,449469.1562
광장동,209012.4202,449467.3863
광장동,209007.1989,449465.7933
광장동,208993.2166,449460.9261
광장동,208988.2609,449459.5102
광장동,208976.668,449455.7048
광장동,208971.8892,449454.2889
광장동,208967.2874,449452.696
광장동,208966.9334,449446.6783
광장동,208976.0485,449449.4217
광장동,209024.1016,449464.9969
광장동,209029.2343,449466.8553
광장동,209021.8007,449459.1562
광장동,209029.4998,449436.1473
광장동,209011.085,449414.8566
광장동,209016.4832,449416.8035
광장동,209021.97,449418.1309
