차종,차명,등록일,사용부서,데이터기준일자
중형화물,유니목 U300,2004-12-13,도로과,2023-02-03
중형화물,유니목 U300,2005-12-30,도로과,2023-02-03
중형승합,그랜드 카니발,2006-12-04,공원녹지과,2023-02-03
소형화물,포터2,2007-01-05,시설관리공단,2023-02-03
소형화물,포터2,2007-09-05,공원녹지과,2023-02-03
중형화물,한빛고압살수차,2007-11-01,청소과,2023-02-03
중형승합,그랜드스타렉스,2008-01-04,교통지도과,2023-02-03
경형승용,모닝,2008-03-14,교통지도과,2023-02-03
소형화물,현대포터2 초장축 더블캡,2008-10-14,공원녹지과,2023-02-03
중형승용,프라이드,2009-01-09,보건의료과,2023-02-03
중형승용,i30,2009-01-14,보건위생과,2023-02-03
소형화물,포터2 윙바디(음향전용),2009-01-15,총무과,2023-02-03
대형특수,고소작업차 전진직진식,2009-01-19,도로과,2023-02-03
중형승합,스타렉스,2009-02-05,건강관리과,2023-02-03
중형승용,프라이드,2010-02-02,총무과,2023-02-03
중형화물,현대 이-마이티(2.5톤),2010-02-11,치수과,2023-02-03
중형승용,아반떼 하이브리드 LPI,2010-03-05,총무과,2023-02-03
대형승용,카니발 LPI,2010-03-19,총무과,2023-02-03
중형승합,스타렉스,2010-04-07,구의회,2023-02-03
경형승용,모닝,2012-03-06,보건정책과,2023-02-03
소형화물,포터2,2012-05-29,청소과,2023-02-03
소형화물,포터2,2012-06-01,청소과,2023-02-03
중형승용,아반떼,2013-03-14,세무1과,2023-02-03
소형화물,포터2,2013-04-09,자양2동,2023-02-03
소형화물,봉고3,2013-04-24,청소과,2023-02-03
소형화물,봉고3,2013-04-24,청소과,2023-02-03
대형승용,그랜드카니발(장애인차 저상롱바디뒷문형),2013-05-09,보건지소,2023-02-03
중형승용,아반떼 하이브리드,2013-05-09,보건지소,2023-02-03
소형화물,봉고3,2013-05-15,청소과,2023-02-03
소형화물,봉고3(4륜),2013-05-16,화양동,2023-02-03
소형화물,봉고3(4륜),2013-05-16,중곡2동,2023-02-03
중형승용,싼타페,2013-07-02,교통지도과,2023-02-03
중형승합,그랜드 카니발,2013-11-06,구의회,2023-02-03
중형화물,이-마이티(더블캡 2.5톤),2014-01-29,도로과,2023-02-03
소형화물,포터2,2014-02-17,치수과,2023-02-03
소형화물,포터2,2014-02-17,가로경관과,2023-02-03
경형승용,레이,2014-03-18,보건지소,2023-02-03
소형화물,봉고3(4륜),2014-04-10,중곡1동,2023-02-03
중형승합,그랜드 스타렉스(11인승),2014-04-10,주택과,2023-02-03
소형화물,포터2,2014-05-09,치수과,2023-02-03
대형화물,트라고압축진개차,2014-07-17,청소과,2023-02-03
대형화물,트라고압축진개차,2014-07-17,청소과,2023-02-03
소형화물,봉고3,2014-12-22,청소과,2023-02-03
소형화물,봉고3,2014-12-22,청소과,2023-02-03
소형화물,봉고3,2014-12-22,청소과,2023-02-03
소형화물,봉고3,2014-12-22,청소과,2023-02-03
소형화물,봉고3,2014-12-22,청소과,2023-02-03
대형화물,알엔씨도로분진청소차,2015-01-13,청소과,2023-02-03
중형승합,그랜드스타렉스,2015-03-05,보건정책과,2023-02-03
소형화물,봉고3(4륜),2015-03-31,중곡4동,2023-02-03
소형화물,포터2,2015-04-15,총무과,2023-02-03
소형화물,포터2,2015-04-15,도로과,2023-02-03
소형화물,포터2,2015-04-15,가로경관과,2023-02-03
중형승용,투싼,2015-05-20,세무2과,2023-02-03
대형화물,알엔씨도로분진청소차,2015-06-24,청소과,2023-02-03
소형승용,스파크,2015-07-24,총무과,2023-02-03
중형화물,마이티,2015-09-22,청소과,2023-02-03
중형화물,마이티,2015-11-09,청소과,2023-02-03
중형승합,앰뷸런스(특수),2015-12-16,보건정책과,2023-02-03
중형승합,그랜드스타렉스,2016-03-16,자치행정과,2023-02-03
